Applied [Hype.BlankIdentifier] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 1] to [PartialApplication: =] that returned [Number: 1]
Applied [Hype.CodeBlock] to [PartialApplication: for] that returned [PartialApplication: for]
Applied [Hype.CodeBlock] to [PartialApplication: for] that returned [PartialApplication: for]
Applied [Hype.CodeBlock] to [PartialApplication: for] that returned [PartialApplication: for]
Applied [Hype.BlankIdentifier] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 0] to [PartialApplication: =] that returned [Number: 0]
Applied [Number: 0] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 1] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 2]
Applied [Number: 1] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 2] to [PartialApplication: =] that returned [Number: 2]
Applied [Number: 0] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 1]
Applied [Number: 0] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 1] to [PartialApplication: =] that returned [Number: 1]
Applied [Number: 1] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 2] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 2] to [PartialApplication: +] that returned [Number: 4]
Applied [Number: 2] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 4] to [PartialApplication: =] that returned [Number: 4]
Applied [Number: 1] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 2]
Applied [Number: 1] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 2] to [PartialApplication: =] that returned [Number: 2]
Applied [Number: 2] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
